ws,wd,freq_val
7,150,0.005079967
7,155,0.005798975
7,160,0.006517983
7,165,0.007236991
7,170,0.007955999
7,175,0.008675006
7,180,0.009394014
7,185,0.010014668
7,190,0.010635323
7,195,0.011255977
7,200,0.011876631
7,205,0.012497285
7,210,0.01311794
7,215,0.013186692
7,220,0.013255444
7,225,0.013324196
7,230,0.013392949
7,235,0.013461701
7,240,0.013530453
7,245,0.013380774
7,250,0.013231096
7,255,0.013081417
7,260,0.012931738
7,265,0.012782059
7,270,0.012632381
7,275,0.011838469
7,280,0.011044558
7,285,0.010250647
7,290,0.009456735
7,295,0.008662824
7,300,0.007868913
7,305,0.007564359
7,310,0.007259806
7,315,0.006955252
7,320,0.006650699
7,325,0.006346145
7,330,0.006041591
7,335,0.005940272
7,340,0.005838953
7,345,0.005737634
7,350,0.005636315
7,355,0.005534996
8,0,0.003701682
8,5,0.003431834
8,10,0.003161985
8,15,0.002892137
8,20,0.002622289
8,25,0.002352441
8,30,0.002082593
8,35,0.002245568
8,40,0.002408544
8,45,0.00257152
8,50,0.002734495
8,55,0.002897471
8,60,0.003060447
8,65,0.00306242
8,70,0.003064392
8,75,0.003066365
8,80,0.003068338
8,85,0.003070311
8,90,0.003072284
8,95,0.003629804
8,100,0.004187324
8,105,0.004744844
8,110,0.005302364
8,115,0.005859884
8,120,0.006417404
8,125,0.006258176
8,130,0.006098947
8,135,0.005939719
8,140,0.005780491
8,145,0.005621262
8,150,0.005462034
8,155,0.006117583
8,160,0.006773132
8,165,0.007428682
8,170,0.008084231
8,175,0.008739781
8,180,0.00939533
8,185,0.010138526
8,190,0.010881721
8,195,0.011624917
8,200,0.012368113
8,205,0.013111308
8,210,0.013854504
8,215,0.013687821
8,220,0.013521138
8,225,0.013354455
8,230,0.013187772
8,235,0.013021089
8,240,0.012854406
8,245,0.01280434
8,250,0.012754274
8,255,0.012704208
8,260,0.012654143
8,265,0.012604077
8,270,0.012554011
8,275,0.011591165
8,280,0.010628319
8,285,0.009665473
8,290,0.008702627
8,295,0.007739781
8,300,0.006776935
8,305,0.006544683
8,310,0.00631243
8,315,0.006080177
8,320,0.005847924
8,325,0.005615671
